name,href,time,price,bedroom,location,longitudes,lattitudes,validation_location
UBC Area on 10th,https://vancouver.craigslist.org/van/apa/d/ubc-area-on-10th/7507066090.html,2022-07-12 13:13,"$1,850",1,4615-west 10,-100.445882,39.78373,False
1 Bedroom Suite on UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-on-ubc-campus/7507950173.html,2022-07-12 12:12,"$2,575",1,Toronto Rd,-123.239713,49.265311,True
☆☆☆UBC Ocean View 1br+den Condo with A/C available Aug 1st,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-ocean-view-1brden-condo/7503579395.html,2022-07-12 09:36,"$3,000",1,5728 Berton Ave,-123.23704,49.254506,True
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497458496.html,2022-07-12 08:20,$0,2,location not found,0.0,0.0,False
Furnished 3bedrooms close to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-3bedrooms-close-to/7507750073.html,2022-07-12 03:29,"$4,200",3,W15 near Wallace st,-100.445882,39.78373,False
UBC Ponderosa Studio Sublet September 2022 to December 2022,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-ponderosa-studio-sublet/7501144268.html,2022-07-12 02:58,"$2,500",1,location not found,0.0,0.0,False
CHARACTER-bright-DISHWASHER-LAUNDRY- WOOD FLOORS-UBC-Renovated,https://vancouver.craigslist.org/van/apa/d/vancouver-character-bright-dishwasher/7507725812.html,2022-07-11 21:45,"$2,800",1,west 20th avenue near cambie,-100.445882,39.78373,False
Brand New Main Floor of House/10 mins from UBC/Avail Aug 1,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-main-floor-of-house/7500706545.html,2022-07-11 21:43,"$5,195",3,location not found,0.0,0.0,False
Vancouver West Quilchena 1 & Den walk to stores easy commute to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-quilchena-den/7507718869.html,2022-07-11 21:21,"$2,280",1,location not found,0.0,0.0,False
Kitsilano-Character-Private-BIG BALCONY-Wood floors-UBC-clean-BRIGHT,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-character-private/7507720560.html,2022-07-11 21:09,"$3,500",1,west 7th avenue near balsam,-100.445882,39.78373,False
Kitsilano-Character-Private-BIG BALCONY-Wood floors-UBC-clean-BRIGHT,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-character-private/7507720425.html,2022-07-11 21:08,"$3,500",1,west 7th avenue near balsam,-100.445882,39.78373,False
Vancouver West Quilchena 1 & Den walk to stores easy commute to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-quilchena-den/7507718803.html,2022-07-11 21:09,"$2,280",1,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497341178.html,2022-07-11 17:17,$0,2,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom  / Sept. 1st,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7501413210.html,2022-07-11 15:21,$0,2,location not found,0.0,0.0,False
2 Bedroom Bright & Spacious Suite - UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bright-spacious-suite/7507612887.html,2022-07-11 15:06,"$4,300",2,6005 Walter Gage Road,-123.250457,49.270258,True
UBC wesbrook mall 2 Bedrooms + den rental,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-wesbrook-mall-bedrooms/7507589465.html,2022-07-11 14:12,"$3,600",2,location not found,0.0,0.0,False
3 bdrm furnished garden level suite in Vancouver near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bdrm-furnished-garden-level/7507582718.html,2022-07-11 13:57,"$3,750",3,12th Avenue West near Balaclava,-100.445882,39.78373,False
New & Cozy 2 br -Furnished-Lower Floor Suite in Dunbar close to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-new-cozy-br-furnished-lower/7507575191.html,2022-07-11 13:41,"$2,580",2,location not found,0.0,0.0,False
Beautiful 2BED+2BATH CONDO in UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-2bed2bath-condo-in/7506586259.html,2022-07-11 11:13,"$3,800",2,5868 Agronomy Road,-123.255258,49.259707,True
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7497264526.html,2022-07-11 11:04,$0,2,location not found,0.0,0.0,False
UBC area - Sea view house,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-area-sea-view-house/7499846961.html,2022-07-11 09:08,"$15,000",6,location not found,0.0,0.0,False
UBC 5 mins. / Fully Furnished 2 bedroom suite & 1 bedroom suite / Sept,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-mins-fully-furnished/7498100157.html,2022-07-11 08:36,$9,2,location not found,0.0,0.0,False
UBC apartment suite for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-apartment-suite-for-rent/7507390967.html,2022-07-11 07:51,"$4,600",2,location not found,0.0,0.0,False
Van W 2 and 3 (can be 4) BR Suites for Rent near UBC/Downtown/Langara,https://vancouver.craigslist.org/van/apa/d/vancouver-van-2-and-can-be-br-suites/7507310157.html,2022-07-11 00:37,"$2,150",5,Park Dr near Granville St,-100.445882,39.78373,False
UBC 2 bedroom 2 bath 1 den concrete apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-bedroom-bath-den-concrete/7507302211.html,2022-07-10 22:45,"$3,800",2,location not found,0.0,0.0,False
"UBC, Stunning Contemporary Condo 2 bed + office",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-stunning-contemporary/7507301988.html,2022-07-10 22:42,"$3,800",2,location not found,0.0,0.0,False
